,issue_area,question,submission_date,submitter_location,submitters,vote_count,question_
3243,Society & Community,How many pornographic videos have either of you appeared in?,2016-10-01 13:32:00,WA,Mike  T.,8,"pornographic video either_of appear
"
3244,Health,This question is about mental health: what do you most often feed your soul?,2016-10-01 10:26:00,NY,mike m.,8,"question mental_health fee soul
"
3245,Government & Elections,How are you going to eradicate the RAMPANT corruption in government?,2016-10-08 16:37:00,FL,Roger M.,8,"eradicate rampant corruption government
"
3246,Taxes & Budget,How much tax would you pay under your opponent's tax plan?,2016-10-06 00:09:00,GA,Matt A.,8,"how_much tax pay your_opponent_'s tax plan
"
3247,Society & Community,Political Correctness,2016-10-07 15:47:00,HI,Daniel Boom Boom S.,8,"political_correctness
"
3248,Government & Elections,"What former President, living or dead, would you ask for advice?",2016-10-04 19:34:00,IL,Nan N.,8,"president living dead ask advice
"
3249,Education,What were the study materials you used to prepare for this debate?,2016-09-28 19:42:00,OR,Duck H.,8,"study material use prepare debate
"
3250,Government & Elections,"Name an issue you won't support during the campaign, but will support in office.",2016-09-29 20:46:00,FL,james b.,8,"issue wo_not support campaign support office
"
3251,Government & Elections,Is the current way we elected our President fair? Why or why not?,2016-10-07 14:27:00,CA,David S.,8,"current way elect president fair
"
3252,Society & Community,What year was America's greatest year and why?,2016-10-01 00:24:00,MS,Allen L.,8,"year america_'s great year
"
3253,Government & Elections,WHY are YOU the BEST Candidate to LEAD this Nation??  EXPLAIN TRUTHFULLY !,2016-10-08 02:30:00,MN,Duane L.,8,"best candidate lead nation explain truthfully
"
3254,Foreign Policy & Military,What will be your approach for dealing with Russia & Ukraine dispute?,2016-10-05 18:09:00,None,John M.,8,"approach deal_with russia ukraine dispute
"
3255,Environment,"
What is your plan to stop the flow of illegal immigrants into the US?",2016-10-08 20:26:00,TX,Loretta H.,8,"your_plan stop flow_of illegal_immigrant
"
3256,Taxes & Budget,How will you lower taxes and bring down our debt?,2016-10-08 15:04:00,GA,Victor G.,8,"lower_tax bring_down debt
"
3257,Education,Why is gun control such a big deal in the debate?,2016-10-06 21:22:00,NY,Sofia O.,8,"gun_control big deal debate
"
3258,Education,What's wrong with vouchers if parents think the local school is substandard?,2016-10-08 20:51:00,OR,Erling N.,8,"what_' wrong voucher parent think local school substandard
"
3259,Economy & Jobs,How will you ensure job security for coal and oil workers?,2016-10-07 13:55:00,AZ,Sherry W.,8,"ensure job security coal oil worker
"
3260,Society & Community,How would you be a positive role model?,2016-10-08 15:06:00,AZ,Stephanie W.,8,"positive role_model
"
3261,Education,What are your stances on free community college?,2016-10-07 09:22:00,NY,Anna C.,8,"your_stance_on free community college
"
3262,Civil Rights,How would you pay reparations without making our racial divide worse?,2016-09-28 14:13:00,None,Cheryl G.,8,"pay reparation racial_divide bad
"
3263,Economy & Jobs,"What are you going to do to reduce taxes on businesses, small & large?",2016-10-07 12:06:00,FL,Trish R.,8,"reduce tax business small large
"
3264,Health,"How will you stop special exceptions of Obamacare i.e. Congress, Unions?",2016-10-08 14:13:00,WA,Milford H.,8,"stop special exception obamacare i.e. congress unions
"
3265,Education,"Is it possible to have FREE COLLEGE ?
HOW ?",2016-10-08 21:08:00,PA,Jo K.,8,"it_possible free_college
"
3266,Environment,"
what are your plans to protect our climate & pollution to our air, soil, water",2016-10-08 13:05:00,IN,Patricia P.,8,"your_plan protect_our climate pollution air soil water
"
3267,Foreign Policy & Military,What can the US do to reduce the threat of nuclear weapons proliferation?,2016-10-05 14:38:00,CA,Donald G.,8,"reduce threat nuclear_weapon proliferation
"
3268,Foreign Policy & Military,would you put combat Troops in Syria or Iraq ?,2016-10-05 14:17:00,AZ,vernon  B.,8,"combat troop in_syria iraq
"
3269,Civil Rights,Are you or your personal guard entitled to armed self defense?,2016-10-07 18:23:00,MI,Ricky W.,8,"your_personal guard entitle armed self defense
"
3270,Health,What is your view on healthcare?,2016-10-07 16:49:00,FL,Chris C.,8,"your_view_on healthcare
"
3271,Infrastructure & Technology,Why is Congress refusing to pass legislation  for infrastructure?,2016-10-08 15:54:00,MO,Marlene W.,8,"congress refuse pass_legislation infrastructure
"
3272,Foreign Policy & Military,Will you priortize relations with African Countries as President?,2016-09-27 19:00:00,IL,Michael S.,8,"priortize relation_with african countries as_president
"
3273,Economy & Jobs,Lower unemployment rate or higher labor force participation?,2016-10-07 20:55:00,CA,Sue J.,8,"low unemployment_rate high labor force participation
"
3274,Government & Elections,WHO ARE THE 5 PEOPLE YOU WOULD SELECT AS SURPERM COURT JUDGES AND WHY,2016-10-07 16:49:00,MO,A C.,8,"5 people select surperm court judges
"
3275,Education,How would you improve our public schools? ,2016-10-08 22:26:00,NJ,Hina N.,8,"improve public_school
"
3276,Economy & Jobs,What are you going to do to lower the unemployment rate? ,2016-10-07 13:31:00,IL,Taylor  W.,8,"lower unemployment_rate
"
3277,Taxes & Budget,"How do you plan to pay for your proposals, whether its new spending or tax cuts.",2016-10-06 19:38:00,CA,Vicki G.,8,"plan pay proposal new spending tax_cut
"
3278,Civil Rights,What would you say if one of your children came out and asked for your blessing ,2016-10-05 23:32:00,CT,Brenna C.,8,"child come ask blessing
"
3279,Economy & Jobs,How does your economy & jobs record reflect better morals than your opponent's?,2016-10-03 20:39:00,None,Greg D.,8,"economy job record reflect better moral than_your_opponent 's
"
3280,Government & Elections,Will refugees and illegal immigrants be allowed to vote?,2016-10-08 11:58:00,NY,Marie I.,8,"refugee illegal_immigrant allow vote
"
3281,Society & Community,Can anything be done about biased media not giving Americans the truth.,2016-10-07 08:19:00,TN,Priscilla H.,8,"biased medium americans truth
"
3282,Economy & Jobs,Would you support government support for globalized economy creating more Jobs? ,2016-09-29 14:07:00,IL,SHANTI N.,8,"support government support globalized economy create_more jobs
"
3283,Taxes & Budget,Which of you support cutting expenses as a way to balance the budget.,2016-10-08 09:56:00,TX,Douglas D.,8,"support cut expense way balance budget
"
3284,Government & Elections,What is the job description for the Presidency of the United States?,2016-10-04 13:49:00,NY,Fritz O.,8,"job description presidency united_states
"
3285,Government & Elections,"""The US is really a plutocracy."" How would you disprove this statement?",2016-09-30 18:28:00,PA,Skip M.,8,"plutocracy disprove statement
"
3286,Foreign Policy & Military,Would you be able to identify sensitive government information?,2016-10-08 13:53:00,CA,Tim U.,8,"able identify sensitive government information
"
3287,Government & Elections,"If you could add one new amendment to the constitution, what would it be?",2016-10-08 10:38:00,NY,Miss P.,8,"add new amendment constitution
"
3288,Infrastructure & Technology,"How, specifically, will you address the aging infrastructure of our country?",2016-10-07 23:05:00,MA,Kathleen S.,8,"specifically address age infrastructure our_country
"
3289,Society & Community,What would be your top three strategic priorities and how would you achieve them,2016-10-08 13:57:00,VA,Ernie M.,8,"strategic priority achieve
"
3290,Foreign Policy & Military,What new tactics can we come up with to stop ISIS?,2016-10-07 13:31:00,IL,Max C.,8,"new tactic can_we come stop isis
"
3291,Society & Community,How will you fix the communities that were effected by Hurricane Matthew?,2016-10-06 22:25:00,FL,Jared  M.,8,"fix community effect hurricane matthew
"
3292,Civil Rights,Do you support child support & custody gender equity Title IVD recipient states?,2016-10-03 11:39:00,MA,Daniela C.,8,"support child support custody gender equity title ivd recipient state
"
3293,Society & Community,As the leader of the free world would you be amenable to listening to the UN,2016-10-01 23:46:00,MD,Richard P.,8,"leader free world amenable listen
"
3294,Foreign Policy & Military,How will you vet refugees and build up military,2016-10-08 14:17:00,AL,Lisa G.,8,"vet refugee build military
"
3295,Government & Elections,SHOULD PEOPLE BE ABLE TO ENTER OUR COUNTRY ILLEGALLY?,2016-10-07 17:14:00,MI,DAVID D.,8,"people able enter our_country illegally
"
3296,Government & Elections,(Besides the 2nd) What are the 2 most important amendments to the constitution?,2016-10-06 13:17:00,CA,David E.,8,"2nd 2 most_important amendment constitution
"
3297,Taxes & Budget,How can we address the national debt without tax increases?,2016-10-06 09:28:00,TX,Kyle H.,8,"how_can_we address national_debt tax increase
"
3298,Health,Since abortion is legal until the time of birth why is infanticide illegal?,2016-10-08 11:43:00,LA,Francis D.,8,"abortion legal time birth infanticide illegal
"
3299,Society & Community,How much money have you received in exchange for your influance?,2016-10-07 18:18:00,MI,Ricky W.,8,"how_much_money receive exchange influance
"
3300,Society & Community,Is the U.S. Constitution a sacred text?,2016-10-07 17:18:00,AZ,Alan A.,8,"u.s. constitution sacred text
"
3301,Government & Elections,Do you promise to tell nothing but the truth throughout your presidency?,2016-10-07 20:56:00,GA,Luke  N.,8,"promise tell truth your_presidency
"
3302,Education,Is it really possible to have FREE COLLEGE ?,2016-10-07 20:37:00,PA,Jo K.,8,"possible free_college
"
3303,Government & Elections,What do you believe are the legitimate functions of government?,2016-10-09 02:33:00,CA,Michael R.,8,"believe legitimate function government
"
3304,Economy & Jobs,Did you work with Mexico to reduce illegal imigration? How hard? How effective?,2016-10-07 12:22:00,IN,Herbert P.,8,"work_with mexico reduce illegal imigration hard effective
"
3305,Government & Elections,Does the Tyranny of the Majority keep you awake at night?,2016-10-07 09:50:00,CO,Sane P.,8,"tyranny majority awake night
"
3306,Society & Community,Would you support a return to local economies rather than global markets?,2016-10-06 12:38:00,MO,Don S.,8,"support return local economy rather_than global market
"
3307,Society & Community,How is political correctness helping or hurting the American society?,2016-10-03 13:46:00,GA,Curt J.,8,"political_correctness help hurt american society
"
3308,Civil Rights,What is your position about the reproductive rights of men?  ,2016-09-28 13:42:00,IN,michael p.,8,"your_position reproductive_right man
"
3309,Society & Community,Do you accept personal responsibility for everything you've done in your life?,2016-10-07 12:42:00,FL,Trish R.,8,"accept personal responsibility your_life
"
3310,Education,How will the candidates work on insuring financial aid for college students ,2016-10-06 20:21:00,FL,Brandon M.,8,"candidate work insure financial_aid college_student
"
3311,Society & Community,Will you apologize to African Americans for this nations years of slavery?,2016-10-04 15:41:00,MD,Ada W.,8,"apologize african_americans nation year slavery
"
3312,Environment, Would you consider using DDT to combat the Zika carrying mosquitoes.,2016-10-07 12:49:00,NY,Candice A.,8,"consider use ddt combat zika carry mosquito
"
3313,Foreign Policy & Military,What are your future plans for terrorist attacks ?,2016-10-07 09:32:00,NY,Jason  G.,8,"future plan terrorist_attack
"
3314,Infrastructure & Technology,"If cars can have technology that can avoid accidents, why can't trains?",2016-10-06 23:40:00,IL,M L.,8,"car technology avoid accident train
"
3315,Economy & Jobs,How do you intend on increasing Social Security and reducing taxes on it?,2016-10-06 22:06:00,CA,Mark A.,8,"intend increase social_security reduce tax
"
3316,Economy & Jobs,How will you get the people who have lost their jobs get their jobs back?,2016-10-06 18:25:00,NY,Dylan N.,8,"people_who lose_their_job job_back
"
3317,Civil Rights,"Your thoughts on ""White Privilege"" does it exist?",2016-10-04 23:44:00,CA,lucifer b.,8,"your_thought_on white privilege exist
"
3318,Foreign Policy & Military,"Are you stop paying Pakistan, Egypt for being US allies? ",2016-10-04 20:27:00,MO,Pierre A.,8,"stop pay pakistan egypt allies
"
3319,Society & Community,What was the greatest US President in your view and why - how do you compare?,2016-10-06 18:37:00,MA,amanda g.,8,"great president your_view compare
"
3320,Economy & Jobs,Define who you consider to be middle-class and how your election will impact us.,2016-10-08 09:41:00,PA,Heidi M.,8,"define consider middle_class election impact
"
3321,Taxes & Budget,"Would you support taxing ALL political war chest funds > $250K, to pay US debt?",2016-10-06 09:59:00,WI,Gene G.,8,"support tax political war chest fund > $ 250k pay debt
"
3322,Society & Community,If u were president what would u do to fix the afforable housing crisis. ,2016-10-06 02:18:00,NY,jon k.,8,"u president u fix afforable housing crisis
"
3323,Foreign Policy & Military,What would you do to help end the war in Syria with such huge loss of life ,2016-10-05 17:36:00,CA,lorna d.,8,"help end war in_syria huge loss life
"
3324,Government & Elections,Would you accept donations from anyone that doesn't support rights for women?  ,2016-09-30 11:38:00,AR,James J.,8,"accept donation_from support right woman
"
3325,Economy & Jobs,"How would you end ""regulatory capture"" at SEC, where SEC employees move to WS?",2016-10-04 13:26:00,MN,Blog.theDerivativeProject S.,8,"end regulatory capture sec sec employee ws
"
3326,Government & Elections,"If you are elected, can you work across the isle without bitterness?",2016-10-04 10:14:00,NE,tricia L.,8,"elect work isle bitterness
"
3327,Civil Rights,"If elected, what will you do when the media decides your presidency is farce?",2016-10-03 18:19:00,MN,Syed S.,8,"if_elect medium decide your_presidency farce
"
3328,Government & Elections,What changes would you make to our branches of government? List for each branch.,2016-10-03 01:07:00,VA,Kelly S.,8,"change branch government list branch
"
3329,Government & Elections,Who do you consider to be our Greatest President ever ?,2016-10-05 15:55:00,NY,Fritz O.,8,"consider greatest president
"
3330,Foreign Policy & Military,What would you do to improve the United Nations? ,2016-10-05 01:05:00,MA,mark p.,8,"improve united_nations
"
3331,Government & Elections,Why all of the personal attacks and shaming?,2016-10-03 09:04:00,MI,Mary-Frances d.,8,"personal_attack shaming
"
3332,Government & Elections,Are you in touch with Millennials ? What should we do for the future? ,2016-10-02 20:05:00,CA,Michael G.,8,"touch millennials should_we future
"
3333,Infrastructure & Technology,"What is you opinion of the NSA, and what changes would you make to it, if any?",2016-10-06 17:53:00,CA,V G.,8,"opinion nsa change if_any
"
3334,Society & Community,What is the biggest problem in our country and what is your plan to fix it?,2016-10-04 09:54:00,None,Theresa  S.,8,"big problem our_country your_plan fix_it
"
3335,Infrastructure & Technology,What would happen if a Chinese company buys Google or Amazon?,2016-10-02 15:06:00,NJ,Aa B.,8,"happen chinese company buy google amazon
"
3336,Education,How would you improve educational opportunities for millions of scholl-aged chil,2016-10-03 11:12:00,CA,James B.,8,"improve educational opportunity_for million scholl aged chil
"
3337,Taxes & Budget,Should paying taxes be a requirement for a job taxing others?,2016-10-01 23:27:00,NY,Edge O.,8,"pay_tax requirement job tax
"
3338,Health,SHOULD AND WILL your health plan COVER PLASTIC SURGERY?,2016-09-28 21:16:00,TX,hotman s.,8,"health plan cover plastic surgery
"
3339,Society & Community,what is your take on gun control,2016-10-08 20:56:00,NJ,sana t.,8,"gun_control
"
3340,Government & Elections,Is there too much secrecy in Government?,2016-10-07 23:26:00,GA,J R.,8,"too_much secrecy government
"
3341,Civil Rights,Why do white rural christians love socialism as long as no one else benefits? ,2016-09-27 22:47:00,GA,William B.,8,"white rural christian love socialism long no_one benefit
"
3342,Civil Rights,Wha does the person you would stop and frisk look like?,2016-10-07 19:15:00,CA,Romel C.,8,"wha person stop_and_frisk look_like
"
3343,Foreign Policy & Military,Would  you use military force to stop NKorea  from developing MIssiles to hit US,2016-10-06 08:46:00,FL,Barbara D.,8,"use military force stop nkorea develop missile hit
"
3344,Government & Elections,Why do you want to be president?,2016-10-04 14:43:00,OH,William O.,8,"want president
"
3345,Government & Elections,Would you consider for your cabinet a candidate from a minority group? Who?,2016-10-02 13:38:00,TX,TheASC D.,8,"consider your_cabinet candidate minority group
"
3346,Health,What would each canidate do to improve the failing Obamacare?,2016-10-05 21:29:00,MS,Nicole W.,8,"canidate improve fail obamacare
"
3347,Government & Elections,SHOULD PEOPLE BE ABLE TO ENTER OUT COUNTRY ILLEGALLY?,2016-10-07 17:11:00,MI,DAVID D.,8,"people able enter country illegally
"
3348,Civil Rights,Will you stop bluffing during debates?,2016-10-04 13:49:00,CA,Bill C.,8,"stop bluff debate
"
3349,Society & Community,Are humans more or less a species of ape?,2016-09-29 11:19:00,CO,Sane P.,8,"human more_or_less specie ape
"
3350,Society & Community,You have both said and done things you regret?,2016-10-08 13:58:00,CO,William W.,8,"thing regret
"
3351,Government & Elections,Do you support the BLM's campaign to remove the American wild mustangs,2016-10-04 10:38:00,MA,Kathleen L.,8,"support blm 's campaign remove american wild mustang
"
3352,Government & Elections,You have heard from your critics,2016-10-04 19:27:00,VA,Ann E.,8,"hear critic
"
3353,Government & Elections,Why should people who do not belong to your party vote for you?,2016-10-08 17:46:00,NY,Jasper Z.,8,"people_who belong your_party vote
"
3354,Government & Elections,Do you support the Line-Item Veto?,2016-10-05 00:16:00,MA,mark p.,8,"support line item veto
"
3355,Government & Elections,What would you do about the debt crisis in Puerto Rico?,2016-10-07 20:01:00,IL,Paul D.,8,"debt crisis puerto_rico
"
3356,Foreign Policy & Military,if elected as president how would you deal with pakistan? ,2016-10-07 19:36:00,NJ,Siddharth R.,8,"if_elect as_president deal_with pakistan
"
3357,Economy & Jobs,"How would you increase GDP growth, and what data or studies support your ideas?",2016-10-07 19:13:00,CA,Mimi V.,8,"increase gdp growth data study support idea
"
3358,Health,What would your Presidency mean for America in terms of abortion?,2016-10-07 19:06:00,TX,Ruth S.,8,"your_presidency mean america term abortion
"
3359,Foreign Policy & Military,Do you consider Cuban Government as a DICTATORSHIP REGIMEN affecting Americans? ,2016-10-07 18:59:00,FL,Tony P.,8,"consider cuban government dictatorship regimen affect americans
"
3360,Society & Community,What actions will you take to heal the increasing societal divide?,2016-10-07 18:43:00,CO,mary ellen s.,8,"action heal increase societal divide
"
3361,Education,How will you support equity + excellence in US public schools preK-12?,2016-10-07 18:43:00,CA,Lisa M.,8,"support equity + excellence public_school prek-12
"
3362,Taxes & Budget,How would lower or slow the cost health care so I can keep my employer paid Plan,2016-10-07 17:53:00,MI,Kurt T.,8,"lower slow cost health_care employer pay plan
"
3363,Government & Elections,Will you support congressional pay raises to be voted on by the people?,2016-10-07 17:43:00,CA,PAULINE A.,8,"support congressional pay raise vote people
"
3364,Society & Community,Do you have any intentions in expanding paternal leave for parents of newborns?,2016-10-07 17:39:00,MI,Aaron S.,8,"intention expand paternal leave parent newborn
"
3365,Taxes & Budget,How can we pay for war endlessly yet not pay for college or healthcare?,2016-10-07 17:38:00,WV,Sebastian I.,8,"how_can_we pay war endlessly pay college healthcare
"
3366,Health,obamacare is a disaster. Who deserves the blame for it?,2016-10-07 17:48:00,None,Dale A.,8,"obamacare disaster deserve blame_for
"
3367,Society & Community,Do you feel that the moderators of this years debates have been fair and honest?,2016-10-07 17:36:00,NY,Richard  L.,8,"feel_that moderator this_year debate fair honest
"
3368,Taxes & Budget,Shouldn't every person above a certain income level be required to pay some tax?,2016-10-07 17:26:00,HI,David W.,8,"person certain income level require pay tax
"
3369,Health,"If you could start from scratch, how would you structure healthcare?",2016-10-07 17:02:00,MD,Everett T.,8,"start scratch structure healthcare
"
3370,Society & Community,Why should the American people trust you with the highest office in the country?,2016-10-07 17:02:00,AL,Mark P.,8,"american_people trust high office country
"
3371,Government & Elections,Can you think of anything good to say about your opponent in this election?,2016-10-07 16:59:00,AR,Craig J.,8,"think good about_your_opponent this_election
"
3372,Education,How would you combat bullying in schools?,2016-10-07 16:33:00,OH,Jen G.,8,"combat bully school
"
3373,Foreign Policy & Military,What are you going to stop the endless war in the Middle East?,2016-10-07 16:10:00,WA,Starla I.,8,"stop endless war middle_east
"
3374,Economy & Jobs,Support for 55-66 yr olds for jobs and health care,2016-10-07 15:46:00,CA,Pat D.,8,"support 55 66 yr old job health_care
"
3375,Government & Elections,How will you protect voting rights for the next election?,2016-10-07 15:45:00,MA,Connor A.,8,"protect vote right election
"
3376,Taxes & Budget,Will you close the tax loopholes that benefit real estate developers?,2016-10-07 15:35:00,UT,Daniel C.,8,"close tax_loophole benefit real_estate developer
"
3377,Education,Do you have a plan to address dwindling collective bargaining rights for techers,2016-10-07 15:32:00,MI,Jason P.,8,"plan address dwindle collective bargaining right techers
"
3378,Government & Elections,How can term limits become law for Congress when they would never vote for it?,2016-10-07 15:30:00,TX,Carole R.,8,"term_limit law congress when_they vote
"
3379,Government & Elections,"As President, what will you do to encourage Congress to work together?",2016-10-07 15:27:00,KY,Janie W.,8,"as_president encourage congress work_together
"
3380,Society & Community,Should all anchor babies be deported back to homelands of the offending parent?,2016-10-07 15:22:00,CA,Joan N.,8,"anchor_baby deport homeland offending parent
"
3381,Health,How would you address the addiction disease stigma in this country and fund it?,2016-10-07 15:18:00,FL,Marc D.,8,"address addiction disease stigma in_this_country fund
"
3382,Government & Elections,Would you support a Constitutional Amendment to end partisan gerrymandering?,2016-10-07 15:15:00,CA,Andrew S.,8,"support a_constitutional_amendment end partisan gerrymandering
"
3383,Foreign Policy & Military,"The United States openly supports, funds, and arms ISIS and its counterparts",2016-10-07 15:10:00,FL,Donna T.,8,"united_states openly support fund arm isis counterpart
"
3384,Society & Community,Why are Muslim women allowed to wear faces covered in public in this Country?,2016-10-07 15:08:00,IL,Jeanette C.,8,"muslim woman allow wear face cover public in_this_country
"
3385,Foreign Policy & Military,Will you get us out of the UN that hates us? made member pay thier share,2016-10-07 15:07:00,TX,Dennis R.,8,"out_of hat member pay thier share
"
3386,Education,What will you do to support teachers?,2016-10-07 15:05:00,IL,Jacalyn R.,8,"support teacher
"
3387,Taxes & Budget,How do you each want people to be taxed? Should wealthy people pay more?,2016-10-07 14:48:00,OH,Abbie P.,8,"want people tax wealthy people pay
"
3388,Government & Elections,"When elected, how will you listen to the voice of the opposing party?",2016-10-07 14:48:00,MN,Jen M.,8,"elect listen voice oppose_party
"
3389,Education,Is there going to be cuts of cost for education and higher raise for teachers?,2016-10-07 14:47:00,OH,Emily S.,8,"cut cost education high raise teacher
"
3390,Education,What are your thoughts on Common Core? Will you change Common Core or change it?,2016-10-07 14:46:00,OH,Mattie L.,8,"your_thought_on common_core change common_core change
"
3391,Civil Rights,What is your Day-One plan on black death?,2016-10-07 14:24:00,CA,Matt R.,8,"day plan black death
"
3392,Health,What can you do for the declining standards of living for men in the USA?,2016-10-07 14:24:00,PA,Tim M.,8,"decline standard live man usa
"
3393,Government & Elections,How will you resolve a gridlocked Congress and get Americans working together? ,2016-10-07 14:18:00,FL,Rainy A.,8,"resolve gridlocked congress americans work_together
"
3394,Health,What will you do to prevent the Internet-enabled sexual exploitation of children,2016-10-07 14:12:00,VA,Donna R.,8,"prevent internet enable sexual exploitation child
"
3395,Government & Elections,Affirming Your Honesty During the 2016 Presidential Debates,2016-10-07 14:10:00,WV,John C.,8,"affirm honesty 2016 presidential debates
"
3396,Foreign Policy & Military,What are you going to do to end the war in the Middle East?,2016-10-07 14:04:00,RI,Kia P.,8,"end war middle_east
"
3397,Foreign Policy & Military,Describe the process for obtaining a Trade agreement from beginning to end.,2016-10-07 13:58:00,NY,David F.,8,"process obtain trade_agreement begin end
"
3398,Health,Would you repeal the ACA and replace it with a true market-centric alternative?,2016-10-07 13:48:00,AR,David R.,8,"repeal aca replace_it_with true market centric alternative
"
3399,Government & Elections,"Do you agree with this and, if so, what will you do about it?",2016-10-07 13:38:00,None,Jim A.,8,"agree_with if_so
"
3400,Taxes & Budget,An incentive for the wealthy to reduce their taxes and poverty?,2016-10-07 13:44:00,IA,Michael W.,8,"incentive wealthy reduce tax poverty
"
3401,Foreign Policy & Military,What lessons for being President did you learn from the Cuban Missile Crisis ,2016-10-07 13:44:00,MA,Patrick H.,8,"lesson president learn_from cuban missile crisis
"
3402,Economy & Jobs,"How does a President ""Create Jobs""?",2016-10-07 13:33:00,VA,Ron W.,8,"president create jobs
"
3403,Health,How are you going to deal with the fact that the food that we eat is killing us?,2016-10-07 13:31:00,WY,Jeremy B.,8,"deal_with fact food eat kill
"
3404,Society & Community,Are you going to do more police training for hostile situations?,2016-10-07 13:31:00,IL,Justin I.,8,"police_training hostile situation
"
3405,Economy & Jobs,Why should college debt be forgiven to current/recent students?,2016-10-07 13:13:00,VA,Martin F.,8,"college debt forgive current/recent student
"
3406,Taxes & Budget,Will you fix the tax loopholes?,2016-10-07 13:06:00,MI,Jared W.,8,"fix tax_loophole
"
3407,Foreign Policy & Military,"If elected, would you maintain the sanctions on Russia?",2016-10-07 13:05:00,MN,Ross L.,8,"if_elect maintain sanction russia
"
3408,Economy & Jobs,How prevent the student loan bubble from starting the next recession,2016-10-07 12:59:00,MD,Kimberly  C.,8,"prevent student_loan bubble start recession
"
3409,Environment,"Arguably the climate is changing as always, give proof that it is manmade",2016-10-07 12:59:00,TX,Derek N.,8,"arguably climate change proof manmade
"
3410,Health,Will you be mandating numerous vaccines for everyone?,2016-10-07 12:55:00,CA,Beverly Y.,8,"mandate numerous vaccine
"
3411,Government & Elections,How do you respond to assaults on the integrity of our democratic process?,2016-10-07 12:39:00,MD,Daniel K.,8,"respond assault integrity democratic process
"
3412,Government & Elections,What will you do to prevent govt. officials from being above the law.,2016-10-07 12:25:00,SC,Sharon C.,8,"prevent govt official law
"
3413,Society & Community,"How are you going to vet any refugees from Syria and let's include Mexico, etc.",2016-10-07 12:22:00,CA,Nancy B.,8,"vet refugee from_syria let 's include mexico
"
3414,Civil Rights,How do you stand on our Religious Rights?,2016-10-07 12:21:00,MO,Eva L.,8,"stand_on religious rights
"
3415,Taxes & Budget,Can you form a group to reduce Congressional extravagant spending?   ,2016-10-07 12:20:00,DE,Harvey R.,8,"form group reduce congressional extravagant spending
"
3416,Economy & Jobs,Why aren't the day care proposals being instituted now since both parties agree?,2016-10-07 12:15:00,KY,Jennifer W.,8,"day care proposal institute both_party agree
"
3417,Government & Elections,How will you as president work to stem the tide of money in politics?,2016-10-07 12:11:00,AZ,William F.,8,"as_president work stem tide money politics
"
3418,Government & Elections,What will you do to remove laws and regulations not based on the Constitution?,2016-10-07 12:06:00,GA,RUSSELL G.,8,"remove law regulation base_on constitution
"
3419,Society & Community,How will the tainted and corrupt media be handled?,2016-10-07 11:50:00,FL,J B.,8,"taint corrupt medium handle
"
3420,Taxes & Budget,What are you thoughts on eliminating earned income tax? ,2016-10-07 12:04:00,PA,Jesse R.,8,"thought_on eliminate earned income_tax
"
3421,Government & Elections,Which federal governmental Departments/agencies will you eliminate?,2016-10-07 12:04:00,CO,Doug R.,8,"federal governmental departments/agencie eliminate
"
3422,Economy & Jobs,What do you plan to do with the coal industry?,2016-10-07 11:59:00,TX,Julia G.,8,"plan coal industry
"
3423,Society & Community,Do you believe a US citizen's Second Amendment right should change by location?,2016-10-07 11:47:00,CA,John M.,8,"believe us_citizen 's second_amendment right change location
"
3424,Environment,"How would you handle a major natural, environmental, or public health crisis?",2016-10-07 11:47:00,VA,Mike T.,8,"handle major natural environmental public_health crisis
"
3425,Taxes & Budget,WILL YOU HELP MOBILIZE STATES TO FORCE CONGRESS TO PROPPOSE A BALANCED BUDGET AM,2016-10-07 11:33:00,TX,Alexander M.,8,"help mobilize states force congress proppose a_balanced_budget
"
3426,Government & Elections,What part of the political system needs to be changed?,2016-10-07 11:23:00,IL,Jack K.,8,"part_of political need change
"
3427,Government & Elections,Do you think candidates should debate without moderators & pose own questions? ,2016-10-07 11:16:00,MS,John L.,8,"think candidate debate moderator pose question
"
3428,Infrastructure & Technology,What do you plan to do to make America rejoin the space race and get to mars?,2016-10-07 11:11:00,NY,alex c.,8,"plan america rejoin space race mar
"
3429,Economy & Jobs,"If elected what is your detailed plan for lowering the  national debt, by when?",2016-10-07 11:08:00,MO,Randall L.,8,"if_elect detailed plan lower national_debt
"
3430,Infrastructure & Technology,How aggressively should the U.S. pursue a space program in the coming decades?,2016-10-07 11:07:00,NJ,John R.,8,"aggressively u.s. pursue space_program come decade
"
3431,Infrastructure & Technology,What specifically would you do to improve our countryâs infrastructure?,2016-10-07 11:00:00,WY,Natalie B.,8,"specifically improve countryâ infrastructure
"
3432,Government & Elections,How do you plan to get money out of politics?,2016-10-07 10:50:00,NC,Alana A.,8,"plan get_money_out_of politics
"
3433,Foreign Policy & Military,How will you change & address the humanitarian issue in Aleppo? ,2016-10-07 10:34:00,LA,Bonnie W.,8,"change address humanitarian issue aleppo
"
3434,Foreign Policy & Military,"The U.S. is constantly being threatened, Is a strong national defense important?",2016-10-07 10:27:00,NE,Bryan F.,8,"u.s. constantly threaten strong national defense important
"
3435,Society & Community,Hate Speech - How do we live with the results after the election?,2016-10-07 10:26:00,WI,Julie D.,8,"hate speech live result election
"
3436,Society & Community,Is the Bill of rights a SUGGESTION made by the Nation's Founders ?,2016-10-07 10:25:00,MO,Mark B.,8,"right suggestion nation_'s founder
"
